task,pipeline,model,sampling_rate,outer_fold,inner_fold,learning_rate,channels,window,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
alz,flt,dcn,125,10,3,0.00075,61,4,0.3700440528634361,0.32669886159442,0.3700440528634361,0.3491991932279371,0.39367374573885744,0.3700440528634361,0.32669886159442,0.3700440528634361,0.3700440528634361,0.3258714093284781,0.36812250626396664,,0.47142241407253554,0.5014037419742381,0.0349527180593594
alz,flt,dcn,125,1,4,0.00075,61,4,0.6142697881828316,0.5324341117591259,0.6142697881828316,0.48863998006182024,0.5685117209915945,0.6142697881828316,0.5324341117591259,0.6142697881828316,0.6142697881828316,0.5057807279499192,0.5863958351738877,,0.7517250328852128,0.7981521722186413,0.39020954289587706
alz,flt,dcn,125,2,4,0.00075,61,4,0.18474758324382384,0.1959942096071329,0.18474758324382384,0.2163792483545464,0.22229909354664373,0.18474758324382384,0.1959942096071329,0.18474758324382384,0.18474758324382382,0.19723330754731028,0.19419000305614617,,0.4062248391524243,0.42368801234147924,-0.15282925906106826
alz,flt,dcn,125,3,4,0.00075,61,4,0.523069451189898,0.5006146870189511,0.523069451189898,0.5010128802868751,0.5732994518199948,0.523069451189898,0.5006146870189511,0.523069451189898,0.523069451189898,0.4783920555547372,0.5210026624843475,,0.7038035972699861,0.7398000000222829,0.2842846821960179
alz,flt,dcn,125,4,4,0.00075,61,4,0.6714204221334854,0.6582339099509852,0.6714204221334854,0.667433198788443,0.6959428213278553,0.6714204221334854,0.6582339099509852,0.6714204221334854,0.6714204221334854,0.6540235921488452,0.6751789402670012,,0.8375159292079872,0.8503102726787877,0.5068449796482125
alz,flt,dcn,125,5,4,0.00075,61,4,0.45718901453957994,0.4505867493994673,0.45718901453957994,0.5822448721488263,0.6150676552792709,0.45718901453957994,0.4505867493994673,0.45718901453957994,0.45718901453958,0.4745749705123492,0.49688024997104724,,0.674530623445158,0.6984823466134855,0.19996614981016958
alz,flt,dcn,125,6,4,0.00075,61,4,0.6884570082449941,0.6795777141128473,0.6884570082449941,0.706956445360019,0.7045149328615329,0.6884570082449941,0.6795777141128473,0.6884570082449941,0.6884570082449941,0.6764593583207378,0.6793356407624056,,0.82801229852087,0.8320301784031207,0.527788072869271
alz,flt,dcn,125,7,4,0.00075,61,4,0.6112938596491229,0.5384435074853906,0.6112938596491229,0.5395244364637467,0.6247878565067095,0.6112938596491229,0.5384435074853906,0.6112938596491229,0.6112938596491229,0.5217947306512148,0.5966843528217122,,0.8147938244106271,0.8385683467004781,0.38002340464190465
alz,flt,dcn,125,8,4,0.00075,61,4,0.4986025712688653,0.49719216570166097,0.4986025712688653,0.49949976449114786,0.5040148298862306,0.4986025712688653,0.49719216570166097,0.4986025712688653,0.4986025712688653,0.49764090297954294,0.5006099329414148,,0.7108688565944741,0.7109334384560698,0.24755167437058134
alz,flt,dcn,125,9,4,0.00075,61,4,0.7744742567077593,0.7495291047138751,0.7744742567077593,0.7996978525120907,0.7867808991138353,0.7744742567077593,0.7495291047138751,0.7744742567077593,0.7744742567077593,0.7460433587135468,0.7578896865393304,,0.8432721972168964,0.8347179605475851,0.6442376687380185
alz,flt,dcn,125,10,4,0.00075,61,4,0.5084959093769666,0.438165086132811,0.5084959093769666,0.5018620594278489,0.50233922666829,0.5084959093769666,0.438165086132811,0.5084959093769666,0.5084959093769666,0.36132422504536404,0.4157586888845714,,0.6510770476604079,0.6528065001304465,0.19793377346479113
alz,flt,dcn,125,1,5,0.00075,61,4,0.7564102564102564,0.6332527758789812,0.7564102564102564,0.5893316651085372,0.6623341358855988,0.7564102564102564,0.6332527758789812,0.7564102564102564,0.7564102564102565,0.5770318302817178,0.6802174504354523,,0.8210783427634247,0.8421316574538642,0.5881458319871523
alz,flt,dcn,125,2,5,0.00075,61,4,0.4264232008592911,0.3654445013081082,0.4264232008592911,0.3175345904054608,0.36286554037195373,0.4264232008592911,0.3654445013081082,0.4264232008592911,0.4264232008592911,0.32634716228605654,0.3836406879164696,,0.6621636886610105,0.6344434414322978,0.03424596662770196
alz,flt,dcn,125,3,5,0.00075,61,4,0.5580378824672171,0.5005191812132379,0.5580378824672171,0.39793960958239544,0.4883025233687512,0.5580378824672171,0.5005191812132379,0.5580378824672171,0.5580378824672171,0.4166097137058296,0.49002462595757995,,0.7342123281544758,0.7704887821556735,0.2983443579649968
alz,flt,dcn,125,4,5,0.00075,61,4,0.6833998859098688,0.6247872725697857,0.6833998859098688,0.5975880284275289,0.6251600731506659,0.6833998859098688,0.6247872725697857,0.6833998859098688,0.6833998859098688,0.5873081818806739,0.6340055176634702,,0.8566564737467051,0.8749364065241773,0.5039286369847648
alz,flt,dcn,125,5,5,0.00075,61,4,0.6984383414108778,0.6273157097914924,0.6984383414108778,0.5761223457658782,0.6153245631410441,0.6984383414108778,0.6273157097914924,0.6984383414108778,0.6984383414108778,0.5834104021338503,0.6402657000156717,,0.7747110579749069,0.7996540060141103,0.5149696995985598
alz,flt,dcn,125,6,5,0.00075,61,4,0.5665488810365136,0.5555550081595136,0.5665488810365136,0.6097750794269633,0.6126216819266974,0.5665488810365136,0.5555550081595136,0.5665488810365136,0.5665488810365136,0.5032634661740497,0.5117868841790806,,0.7763274122658165,0.779119839744798,0.3453480258732863
alz,flt,dcn,125,7,5,0.00075,61,4,0.6518640350877193,0.5136296132438826,0.6518640350877193,0.4627702028599933,0.5728585694053057,0.6518640350877193,0.5136296132438826,0.6518640350877193,0.6518640350877193,0.476664199693894,0.5970702040234179,,0.7903803319839477,0.800223706658177,0.3878825865956095
alz,flt,dcn,125,8,5,0.00075,61,4,0.4577976523197317,0.45109663181877074,0.4577976523197317,0.46411176307756136,0.4603036801402149,0.4577976523197317,0.45109663181877074,0.4577976523197317,0.4577976523197317,0.443042115802681,0.44574113465121434,,0.6798356721927097,0.673057290212986,0.17420998582861658
alz,flt,dcn,125,9,5,0.00075,61,4,0.7179115300942712,0.6639101995428983,0.7179115300942712,0.8014127002689744,0.7719300407086975,0.7179115300942712,0.6639101995428983,0.7179115300942712,0.7179115300942712,0.6246001140435095,0.6590984901135578,,0.8728462139543991,0.8631290961002867,0.5413010427016867
alz,flt,dcn,125,10,5,0.00075,61,4,0.5267463813719321,0.46619320528150937,0.5267463813719321,0.5086185193926521,0.5122321964212005,0.5267463813719321,0.46619320528150937,0.5267463813719321,0.5267463813719321,0.41930707889964586,0.45997261598297984,,0.7049442138380586,0.7237506095002489,0.2364423610241363
alz,ica,dcn,125,1,1,0.00075,61,4,0.6820250284414107,0.6603907893807012,0.6820250284414107,0.6707673518842938,0.7185768026099998,0.6820250284414107,0.6603907893807012,0.6820250284414107,0.6820250284414107,0.6579795318333752,0.6940856252337231,,0.8360395847827865,0.8594933699850618,0.5126150861273728
alz,ica,dcn,125,2,1,0.00075,61,4,0.3702081051478642,0.33865717617739327,0.3702081051478642,0.292246561978352,0.35063313810636876,0.3702081051478642,0.33865717617739327,0.3702081051478642,0.3702081051478642,0.290768686745303,0.33448802284668455,,0.5136281919567961,0.5214934709826179,0.016916397398168748
alz,ica,dcn,125,3,1,0.00075,61,4,0.5442412259021255,0.5420328944673775,0.5442412259021255,0.576124264658425,0.6589621502920874,0.5442412259021255,0.5420328944673775,0.5442412259021255,0.5442412259021255,0.5149491024727646,0.5462702624973297,,0.6543983463172596,0.7037994922180609,0.3264848195973077
alz,ica,dcn,125,4,1,0.00075,61,4,0.6744321490972627,0.6863397970745879,0.6744321490972627,0.7294219793970326,0.7626918873606147,0.6744321490972627,0.6863397970745879,0.6744321490972627,0.6744321490972627,0.6679335573904264,0.680811988627649,,0.8176779054138089,0.8329979169938307,0.5215429617983309
alz,ica,dcn,125,5,1,0.00075,61,4,0.5085118066996156,0.46115214592829545,0.5085118066996156,0.37468918815684704,0.418460336259385,0.5085118066996156,0.46115214592829545,0.5085118066996156,0.5085118066996156,0.4055676909216493,0.45189160726476635,,0.63917138205005,0.6706397574382716,0.22542383675393707
alz,ica,dcn,125,6,1,0.00075,61,4,0.5902527075812274,0.5752637600218902,0.5902527075812274,0.6365262295609999,0.6323332185969285,0.5902527075812274,0.5752637600218902,0.5902527075812274,0.5902527075812274,0.5227853550480149,0.5308557792744162,,0.7354715589989826,0.7388232327576093,0.3744856103537807
alz,ica,dcn,125,7,1,0.00075,61,4,0.5139821029082774,0.5815332924077876,0.5139821029082774,0.6676676676676676,0.7285011521588703,0.5139821029082774,0.5815332924077876,0.5139821029082774,0.5139821029082774,0.45039136470986657,0.3946238579254611,,0.8449264610077426,0.8273300082762901,0.2703240349394196
alz,ica,dcn,125,8,1,0.00075,61,4,0.4306902452937821,0.42930688470758865,0.4306902452937821,0.4375530915030182,0.44718025255333094,0.4306902452937821,0.42930688470758865,0.4306902452937821,0.4306902452937821,0.4182775998340948,0.4245870589987116,,0.6612383301776051,0.665601838331161,0.15102202837280043
alz,ica,dcn,125,9,1,0.00075,61,4,0.6340014847809948,0.6703062054946068,0.6340014847809948,0.6498449814208455,0.6790863396938474,0.6340014847809948,0.6703062054946068,0.6340014847809948,0.6340014847809948,0.6254218227594937,0.616597527872487,,0.8731370455184568,0.8679197984714602,0.46441654259772147
alz,ica,dcn,125,10,1,0.00075,61,4,0.6673089274245344,0.6671235828887626,0.6673089274245344,0.6941185469436407,0.7011511836829764,0.6673089274245344,0.6671235828887626,0.6673089274245344,0.6673089274245344,0.6509111221110905,0.6505752555131593,,0.8463179303977816,0.850287595041932,0.4892324294337027
alz,ica,dcn,125,1,2,0.00075,61,4,0.5591581342434585,0.49455110985433254,0.5591581342434585,0.5032202363359307,0.5906107227838931,0.5591581342434585,0.49455110985433254,0.5591581342434585,0.5591581342434585,0.48262769802087796,0.5550459759677405,,0.7463328503161873,0.8007578822803406,0.33074101600435024
alz,ica,dcn,125,2,2,0.00075,61,4,0.3953997809419496,0.34741056862526065,0.3953997809419496,0.2996115353028536,0.3624379429433613,0.3953997809419496,0.34741056862526065,0.3953997809419496,0.3953997809419496,0.31193258334628077,0.3674904710850064,,0.5813628829415095,0.5778279049751293,0.035125312845362355
alz,ica,dcn,125,3,2,0.00075,61,4,0.5496786950074147,0.5123082391380073,0.5496786950074147,0.5224389980818924,0.5953384252098517,0.5496786950074147,0.5123082391380073,0.5496786950074147,0.5496786950074147,0.47001043585883323,0.5236851724068831,,0.6310745534086336,0.6813057767493825,0.30766624228993633
alz,ica,dcn,125,4,2,0.00075,61,4,0.6511357018054746,0.6201477897627748,0.6511357018054746,0.705330477400096,0.7092137234645308,0.6511357018054746,0.6201477897627748,0.6511357018054746,0.6511357018054746,0.6154956991215083,0.6354387680658591,,0.8487547001002932,0.8512068150676448,0.45908603225026035
alz,ica,dcn,125,5,2,0.00075,61,4,0.5266337177375069,0.4822863048471618,0.5266337177375069,0.3981947419877172,0.4420287065591264,0.5266337177375069,0.4822863048471618,0.5266337177375069,0.5266337177375069,0.41651718159402434,0.4623026438844257,,0.6042040715348013,0.6290952449631344,0.25790165661176767
alz,ica,dcn,125,6,2,0.00075,61,4,0.5812274368231047,0.5741824802964507,0.5812274368231047,0.5803565043875122,0.5836796062329883,0.5812274368231047,0.5741824802964507,0.5812274368231047,0.5812274368231047,0.5686778218912546,0.5742279908931942,,0.7911691832804836,0.7940363557237626,0.3689265250074878
alz,ica,dcn,125,7,2,0.00075,61,4,0.564317673378076,0.623213317286562,0.564317673378076,0.6330312132460639,0.6921598738430977,0.564317673378076,0.623213317286562,0.564317673378076,0.564317673378076,0.508591308532244,0.479530637661208,,0.8611674985925631,0.8451428366374136,0.3501555033634075
alz,ica,dcn,125,8,2,0.00075,61,4,0.5533371363377068,0.5652118539721235,0.5533371363377068,0.6003579339090915,0.6093385905329965,0.5533371363377068,0.5652118539721235,0.5533371363377068,0.5533371363377068,0.518645923466152,0.5118921978693391,,0.7347534824112927,0.7300682956881647,0.33728871415280215
alz,ica,dcn,125,9,2,0.00075,61,4,0.5107646622123236,0.5012558896044511,0.5107646622123236,0.48164456171569103,0.5083264595979078,0.5107646622123236,0.5012558896044511,0.5107646622123236,0.5107646622123236,0.4281508249615187,0.45277986739831627,,0.8001250268563368,0.8040609077415325,0.2568198086945602
alz,ica,dcn,125,10,2,0.00075,61,4,0.6043673731535003,0.5930294485885691,0.6043673731535003,0.5922138047138047,0.6061953024139922,0.6043673731535003,0.5930294485885691,0.6043673731535003,0.6043673731535003,0.5877814663868647,0.5998297125479947,,0.7527807851861605,0.7732837443843088,0.3934327633279008
alz,ica,dcn,125,1,3,0.00075,61,4,0.7281001137656428,0.6471882093555628,0.7281001137656428,0.7031028910653084,0.7204831519222942,0.7281001137656428,0.6471882093555628,0.7281001137656428,0.7281001137656429,0.6239961773371369,0.6884267366413456,,0.887784364768045,0.9085827967438077,0.5597389839654843
alz,ica,dcn,125,2,3,0.00075,61,4,0.255750273822563,0.2404012635996977,0.255750273822563,0.28417696371032436,0.35020188694320337,0.255750273822563,0.2404012635996977,0.255750273822563,0.255750273822563,0.2350645058616941,0.2665011386494487,,0.417895936931866,0.46113451936269223,-0.07506972802819778
alz,ica,dcn,125,3,3,0.00075,61,4,0.35986159169550175,0.2908155978050742,0.35986159169550175,0.3100582438006464,0.38580573782942024,0.35986159169550175,0.2908155978050742,0.35986159169550175,0.35986159169550175,0.29986819342741405,0.37221271840681097,,0.4977430286461552,0.5518972054521358,0.006841603256007134
alz,ica,dcn,125,4,3,0.00075,61,4,0.5614443797320908,0.5888987812361001,0.5614443797320908,0.7002735900283324,0.7412864358223527,0.5614443797320908,0.5888987812361001,0.5614443797320908,0.5614443797320908,0.5245040731807219,0.5321222868930501,,0.8157243366896817,0.8264562003791087,0.3716210502168146
alz,ica,dcn,125,5,3,0.00075,61,4,0.5513454146073586,0.5054121190280066,0.5513454146073586,0.47962875886829753,0.567600756386857,0.5513454146073586,0.5054121190280066,0.5513454146073586,0.5513454146073586,0.4322826428361551,0.4926363999019247,,0.6761559530944838,0.7123310515671551,0.30972481916754435
alz,ica,dcn,125,6,3,0.00075,61,4,0.42719614921780985,0.4035013239967699,0.42719614921780985,0.37450131637593603,0.37836768614754646,0.42719614921780985,0.4035013239967699,0.42719614921780985,0.42719614921780985,0.31915907747461286,0.3316249456171418,,0.6993246453378662,0.7037851809117607,0.11701618276851589
alz,ica,dcn,125,7,3,0.00075,61,4,0.5553691275167785,0.4633613644740562,0.5553691275167785,0.54036270308377,0.5916655729381383,0.5553691275167785,0.4633613644740562,0.5553691275167785,0.5553691275167785,0.40140550415354176,0.4887410108668539,,0.8498258498156345,0.8617467618440147,0.26149673859677836
alz,ica,dcn,125,8,3,0.00075,61,4,0.5367940673131774,0.516850078971305,0.5367940673131774,0.47182824815059216,0.4900396438369072,0.5367940673131774,0.516850078971305,0.5367940673131774,0.5367940673131774,0.45072735639843237,0.4719498200320169,,0.666478326992474,0.6716051209331454,0.2955086720421912
alz,ica,dcn,125,9,3,0.00075,61,4,0.5382331106161841,0.5123772287405904,0.5382331106161841,0.5180647650744039,0.5537501239310625,0.5382331106161841,0.5123772287405904,0.5382331106161841,0.5382331106161841,0.5142458214472684,0.5450077457543664,,0.7148515449585435,0.7324553242229304,0.29485580394790667
alz,ica,dcn,125,10,3,0.00075,61,4,0.4900449582530507,0.49224090398662995,0.4900449582530507,0.5858669413735492,0.6410007574089637,0.4900449582530507,0.49224090398662995,0.4900449582530507,0.4900449582530507,0.49967375369121064,0.5270704146872545,,0.688299807476858,0.7131692886935551,0.26277617761239414
alz,ica,dcn,125,1,4,0.00075,61,4,0.5779294653014789,0.538372351471612,0.5779294653014789,0.5355077221468424,0.6022902461378086,0.5779294653014789,0.538372351471612,0.5779294653014789,0.5779294653014789,0.5085461199850065,0.5557065214449077,,0.8163673174777184,0.8542820095391133,0.3567340111340529
alz,ica,dcn,125,2,4,0.00075,61,4,0.296276013143483,0.26919976636249543,0.296276013143483,0.27656136653832397,0.3264409210300485,0.296276013143483,0.26919976636249543,0.296276013143483,0.296276013143483,0.26634615384615384,0.30300098997388153,,0.5002365454821817,0.5367585129824983,-0.061809503208855476
alz,ica,dcn,125,3,4,0.00075,61,4,0.39199209095402865,0.3917025967641165,0.39199209095402865,0.496816174325468,0.6026506380598816,0.39199209095402865,0.3917025967641165,0.39199209095402865,0.39199209095402865,0.3903702628016436,0.43655732355455107,,0.5818888640665215,0.6358974061645721,0.1373424438029195
alz,ica,dcn,125,4,4,0.00075,61,4,0.6377402446126965,0.623775103629386,0.6377402446126965,0.6787269927222953,0.7121551837803243,0.6377402446126965,0.623775103629386,0.6377402446126965,0.6377402446126965,0.6198456529712256,0.6421499400411936,,0.7935727574769519,0.8124763837894372,0.45716975243695035
alz,ica,dcn,125,5,4,0.00075,61,4,0.5557386051619989,0.5085069713785934,0.5557386051619989,0.3973616718152595,0.4523228691560257,0.5557386051619989,0.5085069713785934,0.5557386051619989,0.5557386051619989,0.42773087482185845,0.4789049132131277,,0.6286243173757389,0.6602673154321432,0.3040062929034757
alz,ica,dcn,125,6,4,0.00075,61,4,0.6155234657039711,0.5979458025930428,0.6155234657039711,0.5768113507780833,0.5788928604887918,0.6155234657039711,0.5979458025930428,0.6155234657039711,0.6155234657039711,0.5470447554302932,0.5570596138714851,,0.7462633488939776,0.7513868735879102,0.41340884875981154
alz,ica,dcn,125,7,4,0.00075,61,4,0.5704697986577181,0.5034999187846348,0.5704697986577181,0.6506956709275418,0.6833288727131669,0.5704697986577181,0.5034999187846348,0.5704697986577181,0.5704697986577181,0.47236566039268507,0.5254737845138654,,0.8563466438166117,0.8572304829057005,0.2991019703161224
alz,ica,dcn,125,8,4,0.00075,61,4,0.4694808899030234,0.46604369115153316,0.4694808899030234,0.4325841964692854,0.44293249115234945,0.4694808899030234,0.46604369115153316,0.4694808899030234,0.4694808899030234,0.4052346765897354,0.41104782565887027,,0.7086585078780038,0.7064280025053479,0.20416941049206283
alz,ica,dcn,125,9,4,0.00075,61,4,0.6243504083147736,0.6041236520282053,0.6243504083147736,0.6275731538022585,0.6367964439749496,0.6243504083147736,0.6041236520282053,0.6243504083147736,0.6243504083147736,0.5633499183779823,0.5872749355499016,,0.8212435600184137,0.817654526327829,0.4191095505139175
alz,ica,dcn,125,10,4,0.00075,61,4,0.5337186897880539,0.48389188386728693,0.5337186897880539,0.483278433542911,0.5294709448490612,0.5337186897880539,0.48389188386728693,0.5337186897880539,0.5337186897880539,0.46371008659254204,0.5088622871565421,,0.6819662975904547,0.7193031762272093,0.2824679838133778
